"timestamp";"id";"distance";"status"
"2018-03-26 15:06:10";"1";"379";"0"
"2018-03-26 15:06:10";"1";"376";"0"
"2018-03-26 15:06:11";"1";"376";"0"
"2018-03-26 15:06:12";"1";"377";"0"
"2018-03-26 15:06:12";"1";"376";"0"
"2018-03-26 15:06:13";"1";"378";"0"
"2018-03-26 15:06:14";"1";"377";"0"
"2018-03-26 15:06:15";"1";"377";"0"
"2018-03-26 15:06:15";"1";"377";"0"
"2018-03-26 15:06:16";"1";"378";"0"
"2018-03-26 15:06:17";"1";"378";"0"
"2018-03-26 15:06:18";"1";"377";"0"
"2018-03-26 15:06:18";"1";"378";"0"
"2018-03-26 15:06:19";"1";"376";"0"
"2018-03-26 15:06:20";"1";"379";"0"
"2018-03-26 15:06:20";"1";"378";"0"
"2018-03-26 15:06:21";"1";"376";"0"
"2018-03-26 15:06:22";"1";"377";"0"
"2018-03-26 15:06:23";"1";"376";"0"
"2018-03-26 15:06:23";"1";"376";"0"
"2018-03-26 15:06:24";"1";"377";"0"
"2018-03-26 15:06:25";"1";"377";"0"
"2018-03-26 15:06:26";"1";"376";"0"
"2018-03-26 15:06:26";"1";"378";"0"
"2018-03-26 15:06:27";"1";"377";"0"
"2018-03-26 15:06:28";"1";"377";"0"
"2018-03-26 15:06:29";"1";"378";"0"
"2018-03-26 15:06:29";"1";"376";"0"
"2018-03-26 15:06:30";"1";"377";"0"
"2018-03-26 15:06:31";"1";"378";"0"
"2018-03-26 15:06:32";"1";"376";"0"
"2018-03-26 15:06:32";"1";"377";"0"
"2018-03-26 15:06:33";"1";"378";"0"
"2018-03-26 15:06:34";"1";"378";"0"
"2018-03-26 15:06:34";"1";"376";"0"
"2018-03-26 15:06:35";"1";"378";"0"
"2018-03-26 15:06:36";"1";"376";"0"
"2018-03-26 15:06:37";"1";"377";"0"
"2018-03-26 15:06:38";"1";"376";"0"
"2018-03-26 15:06:38";"1";"378";"0"
"2018-03-26 15:06:39";"1";"378";"0"
"2018-03-26 15:06:40";"1";"377";"0"
"2018-03-26 15:06:41";"1";"376";"0"
"2018-03-26 15:06:41";"1";"378";"0"
"2018-03-26 15:06:42";"1";"382";"0"
"2018-03-26 15:06:43";"1";"376";"0"
"2018-03-26 15:06:44";"1";"376";"0"
"2018-03-26 15:06:45";"1";"380";"0"
"2018-03-26 15:06:45";"1";"381";"0"
"2018-03-26 15:06:46";"1";"377";"0"
"2018-03-26 15:06:47";"1";"375";"0"
"2018-03-26 15:06:48";"1";"378";"0"
"2018-03-26 15:06:54";"1";"378";"0"
"2018-03-26 15:06:55";"1";"378";"0"
"2018-03-26 15:06:56";"1";"380";"0"
"2018-03-26 15:06:57";"1";"378";"0"
"2018-03-26 15:06:57";"1";"378";"0"
"2018-03-26 15:06:58";"1";"378";"0"
"2018-03-26 15:06:59";"1";"377";"0"
"2018-03-26 15:07:00";"1";"380";"0"
"2018-03-26 15:07:01";"1";"3538";"0"
"2018-03-26 15:07:01";"1";"76";"0"
"2018-03-26 15:07:02";"1";"379";"0"
"2018-03-26 15:07:03";"1";"378";"0"
"2018-03-26 15:07:04";"1";"378";"0"
"2018-03-26 15:07:04";"1";"376";"0"
"2018-03-26 15:07:05";"1";"384";"0"
"2018-03-26 15:07:06";"1";"377";"0"
"2018-03-26 15:07:07";"1";"377";"0"
"2018-03-26 15:07:08";"1";"377";"0"
"2018-03-26 15:07:08";"1";"376";"0"
"2018-03-26 15:07:09";"1";"376";"0"
"2018-03-26 15:07:10";"1";"377";"0"
"2018-03-26 15:07:11";"1";"377";"0"
"2018-03-26 15:07:11";"1";"377";"0"
"2018-03-26 15:07:12";"1";"378";"0"
"2018-03-26 15:07:13";"1";"379";"0"
"2018-03-26 15:07:14";"1";"377";"0"
"2018-03-26 15:07:15";"1";"376";"0"
"2018-03-26 15:07:15";"1";"376";"0"
"2018-03-26 15:07:16";"1";"376";"0"
"2018-03-26 15:07:17";"1";"376";"0"
"2018-03-26 15:07:18";"1";"380";"0"
"2018-03-26 15:07:19";"1";"377";"0"
"2018-03-26 15:07:19";"1";"376";"0"
"2018-03-26 15:07:20";"1";"376";"0"
"2018-03-26 15:07:21";"1";"376";"0"
"2018-03-26 15:07:22";"1";"376";"0"
"2018-03-26 15:07:22";"1";"377";"0"
"2018-03-26 15:07:23";"1";"377";"0"
"2018-03-26 15:07:24";"1";"376";"0"
"2018-03-26 15:07:25";"1";"376";"0"
"2018-03-26 15:07:25";"1";"376";"0"
"2018-03-26 15:07:26";"1";"376";"0"
"2018-03-26 15:07:27";"1";"376";"0"
